Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20
503.000000	8.542527	8.419587	9.797748	11.916373	11.804343	10.314350	10.956443	11.199282	10.704590	11.768424	14.536357	9.703049	10.411506	9.791837	10.698424	11.555347	11.267084	12.754986	10.918434	9.940462
504.000000	9.213807	8.592760	9.951562	13.147049	11.479732	10.365212	11.736322	11.347895	12.023774	11.024860	13.402872	9.750636	11.533340	10.408410	10.499578	12.317079	11.389065	13.221781	11.117725	10.150438
505.000000	10.423096	9.467946	9.933869	13.826706	10.734159	10.271786	12.635107	11.206720	12.803275	12.005268	12.977550	10.175660	11.342403	10.319902	11.488797	12.839720	12.233517	13.034110	11.574193	10.725851
506.000000	11.708179	10.813103	9.609410	14.610289	10.323529	10.136028	12.750417	9.555911	12.159615	12.831387	11.716443	10.366254	11.590657	11.719040	12.220557	13.049457	11.443413	12.527096	12.137441	11.612611
507.000000	12.437310	11.024166	10.409305	14.839529	10.406932	10.451406	12.967841	9.492240	12.395781	13.898042	10.330464	10.754138	11.549678	12.640664	13.168284	12.924830	12.152235	12.103592	11.979772	12.870606
508.000000	13.743455	11.260119	10.743974	14.636443	10.938448	10.960786	12.259636	9.747604	12.812739	14.485163	10.216490	11.500611	12.185646	13.523613	13.539998	13.172145	12.223832	12.893697	11.605510	13.287147
509.000000	14.115963	11.442632	10.825184	14.523403	11.598214	10.682079	12.748005	10.961203	13.775618	14.621618	9.484683	13.093373	12.994014	14.216816	14.309660	12.876387	12.587480	13.724814	11.071520	14.305166
510.000000	13.290769	12.268156	11.462795	13.575793	12.662247	10.234732	12.735431	12.458988	13.547564	14.209114	11.308685	14.864061	14.454247	14.614387	14.277576	13.053916	12.346795	14.057040	10.343058	14.517739
511.000000	13.215804	11.570434	12.680713	12.671235	13.688853	10.252149	12.748881	14.637380	14.216946	13.959604	12.061331	15.267455	15.588350	14.596811	13.489441	13.455315	12.161282	14.078916	11.397324	14.495758
512.000000	12.982821	11.758093	12.922275	12.769499	15.301324	10.200564	14.251259	15.781970	13.841462	14.048741	12.607800	14.864709	16.558583	14.471235	13.752331	14.102284	12.312016	13.650816	11.538629	14.762214
513.000000	13.429977	12.150471	13.428732	12.870443	16.356009	11.158583	14.613217	16.200490	14.518443	14.516713	12.801664	14.182867	17.668093	15.091702	14.464802	14.805921	14.660699	13.040942	12.496252	15.357156
514.000000	12.596177	11.679002	14.220830	12.545326	16.478765	11.323858	14.849837	17.157098	14.931718	14.992331	14.246163	14.444359	19.355669	15.411282	14.497995	15.234196	15.766329	13.134042	14.110121	15.706573
515.000000	12.780163	12.148256	15.082448	13.621375	15.652121	13.013776	16.101305	17.211841	15.056065	16.550140	15.665487	14.514079	18.827855	16.168578	14.672657	15.314965	17.082378	13.980312	14.703270	15.508089
516.000000	13.440909	13.799888	15.781119	14.072343	16.009790	14.103625	16.029277	16.694033	14.180000	16.778368	15.987557	14.450443	19.453240	17.424848	14.713497	15.593100	17.195035	14.759147	15.712979	15.553846
517.000000	13.580070	14.459301	15.628555	14.882191	16.305035	15.995783	16.487319	16.405082	15.539138	17.388462	16.506951	15.975385	18.991422	18.095315	15.445967	15.818112	17.754918	16.374275	16.107366	16.780956
518.000000	14.195361	15.558531	15.170769	16.734277	17.058555	17.714508	16.602774	16.265431	16.385874	18.103100	16.548350	16.753706	18.434172	19.240093	16.232681	17.711119	17.018904	18.131897	16.325804	17.966970
519.000000	14.319441	16.712914	14.706224	17.695329	16.953147	18.160303	18.019068	17.741305	17.505618	18.393497	16.872033	17.774779	17.911049	20.011538	17.554895	18.697529	16.215268	19.876746	16.874429	19.292890
520.000000	14.341399	17.611305	15.317389	18.087110	18.316900	19.858508	19.181166	18.461678	17.012308	18.046387	19.081963	17.671352	18.263124	20.468065	18.323403	18.561072	16.075105	20.254918	17.662005	20.044452
521.000000	15.854499	17.189744	15.926783	19.186900	19.881422	21.205128	19.518462	19.627692	18.310583	18.296993	19.864639	17.597972	18.366597	20.274033	19.414196	20.437692	16.345921	20.016807	19.180629	21.204755
522.000000	16.500886	18.336317	17.034219	20.515734	20.950420	21.602121	20.980093	21.443450	18.695361	19.272774	20.123427	16.831049	19.676084	20.986317	21.065688	21.092564	16.594918	20.220606	19.585128	24.075501
523.000000	17.769977	18.857739	18.219977	21.929977	22.386247	21.059627	22.330909	23.016597	18.388508	21.417156	21.813893	18.338671	22.375455	22.888858	22.111725	22.053124	18.873263	21.253100	20.348322	26.136154
524.000000	17.922098	19.792914	19.695361	22.661212	23.972168	21.226410	24.151608	25.187646	19.226387	23.185198	25.156853	21.810233	25.077879	22.719557	23.864499	22.156224	20.688555	22.204196	21.667133	26.759650
525.000000	20.615991	22.666037	22.181329	24.070047	25.119604	23.081375	25.546737	26.122378	20.160420	25.036970	27.444848	25.119184	25.510583	23.770746	24.055408	22.111981	23.093566	23.984709	23.004056	27.011958
526.000000	22.399720	25.797972	23.642191	25.644289	27.599883	24.452075	27.177086	27.826154	24.100676	27.240490	28.399744	28.711562	26.874476	26.155897	23.893240	23.829557	26.748765	25.682751	25.129557	28.345291
527.000000	23.950606	28.847063	24.832238	26.970723	29.414615	27.273100	29.681049	29.644895	28.593333	30.581166	29.253543	32.176970	27.042448	28.369231	26.161888	26.545408	29.768182	26.790117	26.894476	29.894382
528.000000	26.873846	33.125128	26.268322	29.939907	30.261399	29.326434	31.799930	31.606107	32.710909	33.003869	30.090793	36.042424	28.574009	31.619767	27.996364	30.907389	31.895082	30.270816	28.346783	31.733310
529.000000	30.091282	36.485175	28.355711	32.082191	30.991748	31.814452	33.411375	35.636923	35.608904	35.019814	31.440117	37.377016	31.910210	34.230583	30.118392	35.286317	35.297599	34.939790	31.066737	32.907483
530.000000	34.100350	38.960163	30.783333	35.150210	33.985012	35.151166	34.979627	37.941935	38.339277	37.364196	33.544522	37.641935	34.576830	36.841212	33.466970	40.432611	37.673730	38.964429	35.312378	34.175874
531.000000	38.172191	39.706364	33.326061	38.851772	37.691911	38.855897	36.708322	41.574219	41.054802	39.994312	37.615478	38.376527	37.830186	39.830559	37.315175	45.676503	41.099674	41.600979	38.054942	36.705128
532.000000	40.561748	41.782844	37.425944	43.597529	41.047296	41.729417	40.047599	45.522098	43.216457	43.047622	40.034592	38.517809	42.169464	43.303636	41.709161	48.952448	43.607669	42.080513	39.993776	40.545198
533.000000	41.512657	41.833427	40.872844	47.008228	44.466364	44.716923	43.241841	47.412914	43.215641	44.777389	42.931259	41.233077	46.723357	46.409324	46.534825	51.115688	48.192214	44.347622	43.111072	44.518112
534.000000	42.354545	42.149650	43.931282	49.289720	47.578951	47.428275	47.691841	49.431678	44.637692	46.447086	47.795664	44.701795	50.535921	46.489883	52.651958	52.338811	52.621841	46.184825	47.213403	48.715385
535.000000	44.729790	44.707506	48.154965	51.180443	50.937436	50.306760	50.596270	50.070350	47.103007	48.947436	51.529790	47.427902	53.622867	47.374872	55.965058	54.274242	55.756387	47.744429	51.372704	52.873124
536.000000	44.878881	47.524103	51.402797	54.834709	53.700723	52.290396	54.555734	51.286993	51.567972	53.862657	52.830093	50.233566	56.634918	50.985641	58.596923	57.993403	59.362797	50.074172	56.215338	56.936597
537.000000	44.935758	50.485268	54.662331	55.295128	55.027995	55.262448	58.492214	53.656387	54.061795	56.686737	55.588182	52.849953	58.099557	53.116946	61.687226	60.935128	63.536457	51.596270	58.607483	59.634009
