Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20	Smoothed_21	Smoothed_22	Smoothed_23	Smoothed_24	Smoothed_25	Smoothed_26	Smoothed_27	Smoothed_28	Smoothed_29	Smoothed_30
500.000000	580.690676	584.505361	559.415385	553.164802	551.248485	558.840093	565.539627	569.325874	575.326807	564.185315	566.963869	554.374359	560.752214	532.928205	559.809557	557.762238	556.310256	560.224709	548.086480	547.785548	530.994639	534.088112	533.422844	533.116550	525.161305	529.054312	531.421911	534.283916	515.585082	524.278089
501.000000	609.192541	605.073193	590.920280	573.119114	581.314918	582.433800	594.100466	601.141492	594.815851	588.898601	591.260839	576.980886	585.993706	561.172727	584.634732	587.219347	582.077622	586.460606	577.598834	570.796737	554.344522	553.962937	558.493939	559.439627	546.521212	557.619114	564.438928	550.699301	542.396737	553.721678
502.000000	640.420047	638.311888	625.603497	598.455944	613.042890	606.850816	623.127739	632.557343	617.265967	612.932401	617.372960	599.697436	614.623077	595.492075	601.395571	619.488345	606.044522	610.999534	605.947786	595.771795	575.924942	567.818415	582.158974	586.171562	575.530303	585.013287	592.565967	568.054779	569.807692	581.665734
503.000000	670.113287	672.294172	659.693706	623.307692	641.542424	632.811888	657.251748	660.306061	645.005361	639.227040	644.020979	626.757576	640.713287	637.406294	625.105361	641.508858	627.889510	627.610256	635.418415	622.865268	592.420280	596.531235	605.244289	608.865734	595.515851	616.245221	619.865501	595.732867	603.332634	607.427972
504.000000	693.771795	695.933566	691.572494	641.547319	674.659441	654.868765	692.361072	680.707925	674.323776	659.484149	666.823776	655.113986	666.206294	669.881818	648.827273	662.527040	643.176457	645.338695	657.448718	650.131469	616.303030	629.055944	637.434732	631.994872	624.471096	645.780420	643.508625	622.295105	627.019114	634.275524
505.000000	713.590443	720.403263	713.181352	670.078788	700.096037	679.283683	720.642657	700.692308	702.408625	683.816317	695.592541	686.962471	686.960140	693.135897	674.722378	684.940093	661.208625	668.320047	676.029138	670.415851	642.466667	657.419814	659.908159	651.052914	653.537529	667.363170	663.594872	645.605361	650.947786	655.310256
506.000000	737.280886	747.271795	726.466200	697.463636	727.106993	713.041725	744.925408	711.238928	727.041492	709.728671	726.898834	711.575058	715.640326	712.663403	699.445921	704.591608	681.435198	697.186713	693.933333	693.127506	669.194639	676.234499	679.013520	677.342424	679.898368	684.566667	686.757809	669.387879	670.957809	677.237296
507.000000	759.201166	771.897902	738.890909	729.883683	744.569697	739.628205	766.881352	727.797669	745.942424	734.546853	756.871562	733.696503	741.392075	729.052681	717.274126	726.002331	707.557343	719.926807	715.285315	715.886247	698.929604	702.843590	695.049883	705.312821	699.722844	709.982051	702.233100	700.929138	693.426573	694.027506
508.000000	780.727273	790.091841	766.261538	766.014219	759.759441	765.941259	777.455944	746.912121	757.555944	761.644755	785.294872	764.473660	772.649883	742.943357	745.265035	747.837063	740.886713	738.273427	736.095105	736.501632	733.984615	719.528904	717.524709	728.879487	721.515851	729.775991	722.234033	723.293007	709.179254	710.431235
509.000000	809.005128	804.862005	794.870163	796.291142	775.666200	791.845921	798.013520	763.049184	767.693473	789.314918	802.691375	789.482517	803.048951	761.646387	768.884382	770.027273	765.235664	749.775058	762.281818	754.474126	756.883916	745.142657	745.745688	748.873427	747.044056	741.252448	743.241958	745.972261	727.172960	726.485548
510.000000	831.019814	817.008392	814.903497	818.878555	796.935198	814.427506	806.257809	788.496270	779.772261	811.842890	824.455245	809.670396	821.402098	781.356177	790.229138	786.693706	780.124709	767.263403	779.910723	774.926807	783.238928	763.869464	765.508625	771.391375	764.665035	750.075758	758.476457	755.495338	750.890676	743.440793
511.000000	855.368765	833.453380	834.475058	843.268298	820.357110	841.559441	822.304895	799.708625	785.595105	836.575291	849.367599	830.225641	830.445455	796.551282	804.997669	801.598368	796.342191	789.063403	794.205361	791.731935	803.127972	776.668298	791.749417	795.294406	782.540793	763.612354	776.181585	762.413520	767.180420	762.346620
512.000000	876.278788	849.813054	856.063636	868.019814	844.416317	857.060140	836.635431	817.041492	809.451282	853.730070	866.203030	839.985548	845.020746	813.690909	815.339860	816.512121	814.955711	811.479720	808.878322	802.248485	819.915385	791.216550	807.340326	815.358741	801.740093	770.464103	785.615152	773.496270	777.125408	777.812121
513.000000	896.817483	866.724009	874.141725	880.411655	864.347086	873.609091	858.882517	835.023077	837.372494	873.227739	880.427739	846.083916	857.097203	832.454545	838.747552	824.908858	822.835664	833.405828	823.558275	812.428438	829.077389	810.488811	821.291375	828.336830	809.936131	791.075991	797.193240	789.243590	794.699534	795.056410
514.000000	914.329604	874.144056	886.270629	894.372960	884.018881	883.711422	873.167133	851.395804	864.471795	884.302564	891.150117	867.680186	869.073893	843.796270	859.266200	842.533333	827.608159	852.762471	838.862704	825.570629	840.833333	825.389977	836.457809	838.044522	821.603497	809.757576	809.229604	808.665501	810.107226	810.797669
515.000000	925.433333	887.665734	891.713054	914.000000	901.443823	891.513986	887.589744	870.421445	880.845688	895.757343	903.242657	883.997203	871.793007	850.571795	876.737063	853.756643	840.895338	872.210023	843.271562	837.009790	853.681119	835.011655	838.191608	838.157576	837.080420	826.483683	823.509091	825.482751	824.495571	818.738695
516.000000	936.457343	900.628205	897.998135	917.378555	919.216783	903.723543	898.452914	883.545455	896.587879	908.849417	904.207692	895.768298	878.967366	862.423077	899.365268	861.056410	848.116317	883.379254	848.151748	844.868298	856.109324	839.921212	839.950583	850.060839	845.016084	843.457576	836.077156	840.171329	830.192774	829.451748
517.000000	952.880186	914.572261	907.034266	932.405594	927.387413	901.022844	906.881818	905.192541	913.480653	912.788345	905.417016	903.527739	883.981352	873.814452	908.859907	874.643124	855.920513	885.793240	862.853147	851.069930	858.582051	852.181585	835.238228	855.220979	850.218415	855.473427	849.900000	853.012121	839.835198	838.136830
518.000000	969.251981	926.776224	920.326340	941.638928	927.168998	899.058275	906.226807	912.408858	919.201865	910.428205	902.662704	903.813986	888.221212	891.119114	921.761305	884.254779	867.459441	882.205128	874.789510	858.318182	870.889977	850.431469	842.296737	864.506527	858.877389	869.412354	858.519580	851.914685	841.907692	843.842890
519.000000	973.580886	928.788811	936.426807	945.686946	921.515385	898.203963	912.073660	915.889977	918.694872	910.434033	901.665035	902.128904	892.656177	904.613986	929.475291	889.701865	874.016783	877.775524	894.332168	864.326107	861.405594	858.941492	851.174825	858.728438	873.635198	869.233333	868.962471	850.964802	846.458974	843.544988
520.000000	974.703963	924.302331	941.554779	942.417716	917.862471	897.273427	898.771795	921.456643	924.326807	908.567366	906.299068	900.027040	884.773427	911.644289	927.046154	885.329138	871.996037	875.841958	893.342657	868.679720	869.809790	865.564336	853.035897	868.970862	873.447786	866.914918	867.786014	841.713753	848.676224	849.526807
521.000000	971.368065	926.422844	942.124009	933.206993	922.130536	902.794406	893.353846	915.852681	923.712354	899.115385	915.307692	896.626107	875.272727	915.640093	915.213520	886.365035	872.266434	878.827040	888.849184	870.825175	876.012354	869.142424	862.573193	878.122844	875.428438	858.391841	865.791841	839.589510	839.415851	851.544289
522.000000	965.073427	930.013287	935.326573	923.618415	926.054545	900.279720	891.889744	915.076690	922.824009	883.951515	914.846620	890.445688	881.306061	910.345455	908.637296	885.880186	871.178555	887.226573	888.246853	871.974126	876.031935	872.225408	861.597902	880.121678	867.317016	842.908392	861.272494	832.070163	833.665035	850.945688
523.000000	957.817483	933.009091	926.143823	909.902564	923.409324	909.377855	899.936830	907.786480	916.232401	879.306061	920.424476	893.110490	890.128904	905.607459	905.450117	884.214219	868.627040	886.084848	885.832634	871.829604	870.541026	862.342424	862.051049	883.490210	858.912354	840.495338	859.444056	830.167832	827.493240	854.209091
524.000000	943.067133	924.926807	909.663403	913.885315	916.230303	906.113986	897.276923	904.247786	907.690909	874.573193	915.758741	901.431702	887.777855	896.769930	894.739161	888.455711	862.017716	883.241259	880.279720	875.440093	861.919580	856.251282	850.909324	873.256876	851.490443	827.693473	851.783450	833.384848	823.018881	854.319347
525.000000	928.345688	917.106760	898.991375	903.991841	913.590210	897.746154	900.696037	902.306993	891.610490	874.817016	907.795338	906.468531	882.553380	882.696037	882.433566	880.093706	850.995804	872.224009	870.549650	871.904429	857.217249	849.526573	840.750117	853.434266	844.087179	821.310023	839.397902	830.128205	823.925874	850.428904
526.000000	913.363170	899.867599	899.302797	889.488112	914.696037	894.355478	900.893007	892.899767	884.818881	873.246154	892.929371	908.037296	869.375291	874.141026	872.188345	865.636364	832.824709	859.127506	862.306061	853.197436	843.263869	839.229837	830.905361	838.137529	831.820513	817.602331	827.686014	824.796970	814.241259	841.086480
527.000000	907.131469	891.137529	894.685781	884.535198	900.434033	883.890210	894.345455	885.929604	877.935664	863.551049	876.753147	894.533333	861.325408	856.148718	857.185548	848.232867	819.445221	849.916084	853.774126	837.933333	829.645455	831.593240	823.939860	823.267133	819.083916	810.666434	815.311422	816.533100	807.967366	827.029837
528.000000	899.515851	889.867133	886.994872	871.676923	886.736364	872.928671	888.379953	872.132634	861.549184	849.103497	861.516783	871.692075	850.695338	839.886713	846.644289	837.009557	815.517716	827.629604	843.260839	828.512121	824.030769	822.855711	814.942424	810.290210	808.114918	814.491142	797.508625	805.359674	807.701865	804.396503
529.000000	884.688578	876.214918	885.655944	855.052914	866.571562	860.924709	874.927739	855.398368	845.072261	846.332867	849.393939	848.654545	838.793240	824.465734	832.556410	823.426340	813.961772	806.088811	835.343590	814.396503	808.859907	822.976923	796.462005	790.865734	798.064802	802.698834	782.947319	791.978322	801.923310	786.880186
530.000000	877.437296	863.529371	880.699767	833.895338	854.778788	844.837063	849.046853	836.276224	834.795338	841.441259	838.715152	826.890676	816.003963	810.854779	816.505828	813.018648	809.868065	796.796503	817.460373	797.528205	802.466900	811.117249	793.595571	781.311422	776.813054	792.280420	762.774825	780.641259	790.521678	771.449184
531.000000	868.529837	859.007459	863.522378	810.447552	850.533800	830.711422	828.996970	822.745688	819.683916	825.961772	823.954545	803.198834	800.947786	800.352214	806.787413	805.413054	803.505828	795.552914	794.702564	792.424709	787.524242	799.337529	787.817483	768.262238	760.414918	778.090210	754.477156	772.282984	774.624242	757.753846
532.000000	859.848485	854.545455	843.680653	800.513054	837.859674	819.178555	814.046853	809.541026	802.635431	817.002564	802.798368	782.980420	794.939394	789.155012	799.478788	792.313520	793.471562	787.638228	776.626107	780.646154	769.766900	783.352214	774.214219	758.369697	746.358275	762.070862	746.876690	756.603963	755.801632	747.231469
533.000000	842.606294	835.600466	823.815851	789.268531	818.165967	814.066900	801.065501	791.085781	788.366667	803.093240	781.656177	765.748485	789.337529	775.714918	798.255245	780.262005	781.925408	774.509790	757.589277	771.140559	751.889277	760.996737	759.496270	757.504895	742.081119	745.224942	737.023310	747.180653	734.533800	739.618415
534.000000	826.738928	808.830303	801.473193	791.772494	798.489977	796.669930	781.144755	774.562471	770.995571	783.179021	760.138928	744.172727	772.249184	768.563869	790.880186	764.537995	758.359674	764.416084	736.268065	761.960140	736.692774	741.260839	739.503963	738.036131	727.800233	723.683217	724.930303	733.164802	719.261072	730.594406
535.000000	809.941259	787.579254	784.512354	776.864336	781.212121	775.858042	766.205361	756.749184	751.541725	769.234033	746.177156	729.233100	749.247552	753.626107	776.914685	744.334033	730.583683	751.851282	729.060373	748.137529	724.913287	726.664802	729.388345	713.337296	712.694639	706.736597	713.966900	723.337529	712.726340	721.904196
536.000000	785.309324	758.258974	770.886480	768.496270	765.374126	761.033333	752.491608	741.239161	741.303030	749.445688	731.051748	711.481119	718.075058	742.260373	756.348951	722.383683	706.598368	740.869231	716.284615	729.568531	703.920513	711.196503	713.838228	693.940793	695.428205	696.125874	703.494639	708.065734	695.667599	710.242191
537.000000	761.917483	739.993473	753.240559	750.591375	742.757576	747.985082	736.124709	727.898135	728.898135	733.394639	714.585082	697.434965	704.638695	720.093473	733.435431	703.213753	686.072028	723.254079	699.499767	711.096503	686.661072	693.668065	704.289977	679.648485	682.424242	696.705128	689.519814	697.071096	686.792308	687.056876
538.000000	742.761305	723.711888	736.217949	730.403963	724.385548	734.451049	719.987646	711.806527	710.676923	718.531002	705.321678	687.440793	695.649883	709.237529	708.098135	694.439394	662.889977	697.203030	680.772494	699.606061	674.334266	676.992308	686.596970	668.656177	671.729138	691.345688	676.574126	683.715152	679.393240	666.402098
539.000000	723.489744	703.733800	717.545221	710.972960	700.234965	714.761072	704.901865	690.344522	697.316317	705.668765	696.106527	682.547786	683.555944	705.595571	681.240559	682.071329	652.623310	673.785548	663.345688	679.907692	658.854545	666.358741	668.703030	656.539394	659.170163	678.086713	659.962704	663.425408	663.032401	656.684382
540.000000	703.500932	689.639627	700.395105	688.067832	684.417716	691.452914	689.101399	676.570862	680.853846	688.205594	683.013753	679.781119	663.434965	694.018182	662.943124	669.367133	639.953846	663.457110	648.109790	659.407226	645.324009	651.348252	662.260839	643.906993	642.151515	664.286713	642.664569	647.864569	652.710490	644.903730
541.000000	687.328671	677.569464	680.029604	669.027739	670.644988	675.890210	674.216084	666.304662	670.218182	672.598601	675.913287	668.066667	650.381352	684.328205	649.994406	655.114918	629.504895	649.967366	634.991841	647.412354	633.722378	643.795804	640.903030	632.783450	629.827972	655.463170	634.227506	633.501166	639.820746	635.213287
542.000000	673.758741	660.293240	661.694639	655.701166	653.980653	657.579487	662.588578	658.443357	658.277156	660.855944	656.277855	653.390676	639.033100	668.718415	631.628904	635.241259	622.647552	636.685781	626.693473	627.375058	623.462238	633.877389	622.089744	624.251282	620.029138	641.649184	619.375524	619.045921	621.319114	623.711888
543.000000	655.107692	645.847319	644.152214	640.423543	642.680420	647.574126	649.526807	644.370163	644.880186	643.418648	641.508625	642.106061	625.728205	646.455478	622.683450	621.459441	613.695571	628.086480	615.353380	612.705828	616.610723	618.681585	605.400699	618.201166	610.151049	626.381119	605.234732	607.161305	605.265501	603.754079
544.000000	637.725874	628.758508	633.946387	630.958741	628.430070	632.585082	636.713520	634.397669	627.009790	627.015385	631.903263	625.214219	610.644988	635.646387	613.666434	605.008392	600.389744	620.368298	596.049883	597.501632	609.034266	604.204895	591.582984	604.834499	592.992541	607.771329	588.951748	589.921445	593.722611	594.764569
545.000000	622.177855	619.115152	619.101865	612.219114	618.724476	616.703730	618.773660	618.644522	609.183450	615.636597	619.955245	611.347786	593.141958	614.729371	601.485082	597.243357	592.952914	611.349883	592.621445	582.317016	601.034965	594.217716	576.635431	590.627739	578.245455	586.862471	580.163636	574.192774	584.297436	584.637063
546.000000	608.397902	605.956410	605.697203	598.936131	608.789044	602.427739	602.227739	607.836597	599.281119	600.458275	601.545921	598.491608	580.549883	591.837296	587.038928	584.827972	587.400699	594.069697	584.186247	568.253846	587.771795	581.474825	558.066434	577.078555	561.074825	574.675524	572.557343	561.440326	573.944056	568.650350
547.000000	593.693706	593.277622	596.183683	583.038695	596.563636	590.571096	583.434499	593.333333	587.589510	594.868298	588.835431	582.896270	576.597669	572.861772	571.524242	571.828438	573.558275	575.888811	572.846620	557.230070	576.105128	568.790443	545.982751	564.619114	550.125874	564.263636	566.661072	555.394172	567.221445	546.155478
548.000000	586.145221	581.963869	586.168765	572.700000	576.359674	582.343357	566.720513	575.244522	574.442657	583.362005	578.026573	570.668998	572.099301	563.200932	564.360606	558.023543	557.480186	566.120280	557.169231	549.935198	563.745221	556.569464	534.232867	552.477389	539.520513	547.389510	558.743590	546.030769	557.352681	531.316550
549.000000	577.934965	572.747786	570.854079	566.743590	561.805361	566.291608	557.244289	559.474359	560.150816	572.030303	565.713054	562.507925	562.290909	553.920746	557.666434	547.326573	549.683217	549.388578	543.868765	538.866434	551.283217	547.686946	524.439161	544.581585	528.292075	533.172727	541.622378	534.877156	551.993007	523.060839
550.000000	568.515385	568.107692	560.928671	555.035431	547.552214	555.428671	553.468998	549.296503	545.528671	561.662937	555.560373	545.759674	547.129837	539.720746	553.043357	537.985315	538.413986	535.510256	533.293706	528.241026	542.979953	536.441725	520.655711	534.779021	518.284149	520.373660	525.355245	527.381352	548.406993	512.374592
551.000000	560.840326	560.341958	551.006760	546.009557	537.247319	547.782517	541.963170	535.407925	540.368065	552.184615	554.667832	525.696503	536.778089	527.427739	544.817249	527.987879	530.300932	525.074359	523.466200	524.566434	534.661538	530.354545	508.139627	521.554779	512.356876	513.050816	513.650816	519.565035	538.972727	504.030769
552.000000	552.460373	548.188578	539.251748	538.458508	529.765268	537.158974	537.497902	526.405828	536.386713	540.616783	536.968065	514.899068	529.570629	516.300466	538.026107	519.448718	525.317483	514.849883	511.506527	517.449650	525.949883	524.604895	507.414918	510.368531	504.915385	504.266900	504.150583	513.740793	526.344289	491.328904
553.000000	540.176690	542.764802	528.423077	528.275291	530.690210	527.799767	529.656643	516.568998	533.022844	530.590443	528.111888	509.731002	519.212121	513.302564	531.051049	514.408858	513.302098	508.889044	502.991841	510.386014	515.606294	515.204895	505.972960	502.740793	502.035664	499.282517	496.729138	507.132401	510.342657	483.987646
554.000000	525.864802	533.802797	519.148718	518.803030	527.733800	518.744056	522.410723	509.285548	528.933566	521.363869	518.179953	501.561072	515.484149	513.354545	524.157576	507.228205	502.616317	507.941259	493.497203	502.733100	505.699301	503.739627	503.809324	497.455711	494.794872	492.308625	488.457576	494.666200	503.676457	486.512587
555.000000	519.655245	523.232168	510.241026	511.554545	526.933333	509.022844	514.380420	497.468531	519.018415	507.808858	505.403030	499.720513	506.993939	504.869464	512.973660	505.468065	491.359441	502.299534	493.040326	494.357576	502.010723	492.554545	497.468998	490.824709	489.471329	488.072727	488.438462	482.368765	494.089977	485.307692
556.000000	515.365268	512.372494	497.762238	508.716550	522.737529	500.300699	505.478089	491.517949	514.248485	500.920979	491.258042	496.951515	498.212821	496.910723	502.579487	499.839394	487.465268	492.275524	493.091608	485.982051	496.815851	488.793939	489.456177	483.566900	485.166667	480.773893	491.486247	478.112821	484.246387	480.745221
557.000000	510.974126	504.220979	498.986713	507.394172	519.572028	494.541958	497.137995	490.678788	512.692308	493.732867	483.291841	490.616084	494.191841	499.810023	495.296970	493.957809	482.711655	486.994872	494.367832	481.707459	487.491841	488.344755	483.403963	479.336830	474.968765	474.265501	487.366200	474.741725	481.508392	478.251049
558.000000	511.005594	502.637995	490.544755	504.711189	511.331935	489.873893	495.436131	488.388578	510.136364	485.593240	478.413753	484.307692	487.289044	500.731702	495.034499	483.610256	481.122145	487.089977	491.489277	474.851049	483.331235	483.784149	478.355944	477.668531	467.968531	473.334965	476.693240	466.072028	481.714452	475.825641
559.000000	506.093473	499.628205	484.927739	503.400000	504.755711	486.658741	496.584615	485.801865	500.217716	482.329837	479.257110	476.906294	476.040326	494.731235	492.125408	474.900699	482.595804	480.288112	487.565268	467.276690	477.259907	472.681585	474.297436	477.162704	460.027506	475.331002	465.661538	465.037063	483.821678	470.975991
560.000000	504.326340	497.869697	491.789744	502.586946	494.825408	490.515152	499.301399	486.484615	497.190443	482.211888	482.043590	469.997902	469.028205	487.852448	488.901865	468.582051	480.898601	478.843590	479.530769	459.311888	474.831235	465.572028	474.115385	476.675291	456.202098	473.677389	457.947786	464.302098	480.519114	467.107459
561.000000	500.323077	494.827273	495.216317	497.093706	491.021445	491.292308	497.112821	484.241026	494.346387	477.357110	485.517483	466.292308	473.521212	484.433566	489.378788	468.496037	476.791841	479.516550	470.459674	459.898368	472.822145	465.022145	469.625641	473.174825	455.909557	470.095338	457.831469	464.084848	476.664569	462.377156
562.000000	498.985315	496.434499	494.445221	488.211655	488.011655	493.760839	496.278788	485.964569	496.440559	474.217716	481.050350	466.982051	476.824476	480.742424	491.037296	471.517016	476.425641	475.983683	463.605594	462.831702	474.695571	462.272960	468.733800	468.541492	457.911888	466.918415	462.172028	463.180653	476.302797	450.614685
563.000000	494.438228	494.522844	496.360839	482.200000	488.962471	488.114685	493.069697	483.678322	496.110023	475.260839	478.245221	465.520047	474.527506	480.569930	490.480653	474.165734	473.062704	479.070862	465.189977	469.611422	472.801865	462.873427	466.152448	462.560606	461.190909	460.158275	463.373193	462.253613	475.713986	449.018881
564.000000	494.022145	494.085781	493.349883	482.365501	488.567366	488.232634	488.738462	482.534965	494.503263	475.827040	476.727040	470.171795	479.718415	481.734033	489.600233	479.661072	472.988345	479.006993	464.123776	478.068765	473.878555	458.749883	465.515152	457.263636	466.661772	455.094406	464.829604	463.053380	476.243124	446.571096
